Type,Data,Note"
DOMAIN,lefrancaisfaceaface.com,"Used for distribution of malware; Can easily be found via a google search (good SEO)"
DOMAIN,marinaplace.it,"Used for distribution of malware; Can easily be found via a google search (good SEO)"
DOMAIN,videodeboda.com,"Used for distribution of malware; Can easily be found via a google search (good SEO)"
DOMAIN,helikon-mta.dk,"Used for distribution of malware; Can easily be found via a google search (good SEO)"
DOMAIN,lenabloch.com,"Used for distribution of malware; Can easily be found via a google search (good SEO)"
DOMAIN,muabandatnen.org,"Used for distribution of malware; Can easily be found via a google search (good SEO)"
DOMAIN,hungthinhland.online,"Used for distribution of malware; Can easily be found via a google search (good SEO)"
DOMAIN,mindlifeskills.com,"Used for distribution of malware; Can easily be found via a google search (good SEO)"
DOMAIN,mindlifeskills.com,"Used for distribution of malware; Can easily be found via a google search (good SEO)"
DOMAIN,cinedetour.it,"Used for distribution of malware; Can easily be found via a google search (good SEO)"
DOMAIN,demo.smart-verticals.eu,"Used for distribution of malware; Can easily be found via a google search (good SEO)"
DOMAIN,msprogrammer.serviciipeweb.ro,"Used for distribution of malware; Can easily be found via a google search (good SEO)"
DOMAIN,risingsunflower.com,"Used for distribution of malware; Can easily be found via a google search (good SEO)"
DOMAIN,montelt.homepage.t-online.de,"Used for distribution of malware; Can easily be found via a google search (good SEO)"
DOMAIN,creaturekind.com,"Used for distribution of malware; Can easily be found via a google search (good SEO)"
DOMAIN,www.mangoes-and-bullets.org,"Used for distribution of malware; Can easily be found via a google search (good SEO)"
URL,http://cronicasyversiones.com/?p=29886,"Compromised sites used for improving SEO by linking to their blog posts on other compromised domains"
URL,http://www.dart18.com/dee-gp1-write-up-by-geoff-lloyd/,"Compromised sites used for improving SEO by linking to their blog posts on other compromised domains"
URL,http://www.saddleexchange.com/resources/reactorpanel-saddle-information/reactorpanel-saddle-fitting/,"Compromised sites used for improving SEO by linking to their blog posts on other compromised domains"
URL,http://ax.babynames.ir/%D9%87/%D8%AF%D8%A7%D9%86%D9%84%D9%88%D8%AF-%D8%B9%DA%A9%D8%B3-%D9%86%D9%88%D8%B4%D8%AA%D9%87-%D9%87%D9%8E%DB%8C%D9%81%D8%A7.html,"Compromised sites used for improving SEO by linking to their blog posts on other compromised domains"
URL,http://dakarpresse.net/%E2%80%8Ble-maire-de-guediawaye-aliou-sall-annonce-une-plainte-contre-ahmet-aidara/,"Compromised sites used for improving SEO by linking to their blog posts on other compromised domains"
DOMAIN,cronicasyversiones.com,"Compromised sites used for improving SEO by linking to their blog posts on other compromised domains"
DOMAIN,dart18.com,"Compromised sites used for improving SEO by linking to their blog posts on other compromised domains"
DOMAIN,saddleexchange.com,"Compromised sites used for improving SEO by linking to their blog posts on other compromised domains"
DOMAIN,babynames.ir,"Compromised sites used for improving SEO by linking to their blog posts on other compromised domains"
DOMAIN,dakarpresse.net,"Compromised sites used for improving SEO by linking to their blog posts on other compromised domains"
